,Bevl_1,Bevl_2,Bevl_3,Burn1_1,Burn1_2,Burn1_3,Burn1_4,Mot_Stress_1,Mot_Stress_2,Mot_Stress_4,Onnodige_stress_1,Onnodige_stress_2,Onnodige_stress_3,Onnodige_stress_4,Onnodige_stress_5,Onnodige_stress_6,Onnodige_stress_7,Onnodige_stress_8,Onnodige_stress_9,Onnodige_stress_10,Leefst,Cantrill_1,Q297_1,Depr_1,Depr_2,Depr_3,Depr_4,Depr_5,Depr_6,Depr_7,Depr_8,Cijfer_huidig_1,Vertr,StopInt,Hulp_1,Hulp_2,Hulp_3,Bekendgebruik_1,Bekendgebruik_2,Bekendgebruik_3,Bekendgebruik_4,Bekendgebruik_5,Bekendgebruik_6,Bekendgebruik_7,Cogn_Eng1_1,Cogn_Eng1_2,Cogn_Eng1_3,Cogn_Eng1_4,Cogn_Eng1_5,Cogn_Eng1_6,Cogn_Eng2_1,Cogn_Eng2_2,Cogn_Eng2_3,Cogn_Eng2_4,Cogn_Eng2_5,Cogn_Eng2_6,Cogn_Eng2_7,Cogn_Eng2_8,Partici1_1,Partici1_2,Partici1_3,Partici1_4,Stopint2,Betrok_Ouders,Werk_1,Zorg_1,Zorg_2,Zorg_3,Zorg_4,Zorg_5,Zorg_6,Pres_1,Pres_2,Pres_12,Veer_1,Veer_2,Veer_3,Veer_4,Veer_5,Veer_6,Cogregiedocent_1,Cogregiedocent_2,Cogregiedocent_3,Cogregiedocent_4,Cogregiedocent_5,Cogregiedocent_6,Extr_eng2_1,Extr_eng2_2,Extr_eng2_3,Domein,Geslacht,Leeftijd,Locatie,Studiejaar,Uitwissel,Vooropleid,Woonsit
206,3,3,3,3,3,3,3,7,7,7,1,1,1,3,3,3,1,4,2,1,3,7.0,7.0,2,2,3,3,2,3,2,2,8.0,0,0,1,1,1,2,1,1,1,1,1,1,3,2,3,5,4,4,4,4,4,4,3,5,3,4,2,1,1,3,1,4,8.0,2,2,2,3,3,3,4,4,4,5,3,2,2,3,2,4,3,2,4,4,4,4,2,2,"Business, Finance and Law (BFL)",Man,19,Alkmaar,2,0,Havo,Bij mijn ouder(s)/verzorger(s)
207,2,3,2,2,1,2,2,5,1,6,1,2,1,2,3,2,1,2,1,1,4,6.0,7.0,1,2,2,1,1,2,1,2,6.7,0,0,1,1,1,2,1,2,1,1,1,1,3,4,3,4,5,5,4,4,5,4,3,5,4,4,3,1,2,2,1,3,20.0,1,1,3,2,4,2,4,1,1,3,1,1,1,5,2,2,1,4,5,5,4,4,2,3,"Business, Finance and Law (BFL)",Man,23,Haarlem,2,0,Vwo,Bij mijn ouder(s)/verzorger(s)
208,2,2,2,2,1,3,4,7,2,1,4,5,2,4,3,5,2,2,2,2,5,6.0,7.0,2,2,2,2,2,2,2,2,7.5,1,1,1,1,1,2,1,1,1,1,1,1,4,4,3,3,3,3,4,3,4,3,2,3,2,3,1,1,1,1,0,3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,"Business, Finance and Law (BFL)",Man,18,Den Haag,2,0,Havo,Bij mijn ouder(s)/verzorger(s)
209,2,3,3,3,2,2,3,3,6,3,3,1,1,2,3,2,1,4,3,1,4,3.0,6.0,2,2,1,3,1,2,2,3,7.2,1,1,2,1,1,2,2,3,2,1,1,1,4,4,3,4,4,4,4,3,4,4,4,5,5,5,4,4,5,5,1,5,25.0,4,3,3,3,2,1,5,3,2,3,3,3,3,4,2,3,4,5,4,3,4,4,3,2,"Techniek, Ontwerpen en Informatica (TOI)",Vrouw,20,Delft,2,0,Vwo,In een studentenhuis / met meerdere studenten samen
210,4,4,4,2,3,4,3,9,6,8,1,4,2,3,3,4,1,4,5,1,5,8.0,9.0,1,1,1,3,1,3,1,2,7.8,0,0,1,1,1,2,2,2,1,1,1,1,4,3,3,4,4,4,4,3,3,3,3,5,3,3,3,4,3,1,1,1,24.0,1,1,2,2,1,1,3,1,1,5,1,1,2,4,1,3,3,3,2,3,3,2,2,2,"Gezondheid, Sport en Welzijn (GSW)",Vrouw,51,Alkmaar,3,0,Vwo,Met mijn partner / een relatie
211,3,3,2,2,1,3,4,6,3,6,2,2,3,3,4,3,1,2,3,1,4,6.0,6.0,2,2,2,2,2,3,1,2,6.5,2,0,2,2,1,1,1,2,1,1,1,2,3,3,3,5,4,5,3,3,4,3,2,5,2,2,3,3,3,3,1,3,20.0,,,,,,,,,,,,,,,,,,,,,,,,,"Gezondheid, Sport en Welzijn (GSW)",Man,22,Haarlem,2,0,Havo,Bij mijn ouder(s)/verzorger(s)
212,2,3,3,4,3,3,4,6,6,8,3,3,3,3,3,3,4,3,4,3,3,6.0,5.0,2,2,2,2,2,3,3,2,8.1,0,0,2,1,1,2,2,2,2,2,2,2,3,3,4,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,31.0,,,,,,,,,,,,,,,,,,,,,,,,,"Business, Finance and Law (BFL)",Vrouw,31,Alkmaar,2,0,Havo,Alleen
213,3,4,4,4,4,4,4,6,6,5,3,3,4,4,5,3,5,3,5,3,3,6.0,6.0,2,2,3,2,1,3,2,3,6.0,1,0,2,2,2,2,1,1,1,1,1,1,4,2,3,4,4,3,4,3,3,4,2,3,3,4,2,1,2,1,1,3,16.0,,,,,,,,,,,,,,,,,,,,,,,,,"Business, Finance and Law (BFL)",Vrouw,19,Rotterdam,2,0,Havo,Bij mijn ouder(s)/verzorger(s)
214,3,4,4,3,3,3,3,9,5,8,5,3,4,4,5,4,3,5,5,5,4,7.0,7.0,2,2,2,3,1,3,2,2,7.2,2,0,1,3,3,2,2,3,1,1,1,1,4,4,3,4,4,4,4,4,5,5,3,4,4,4,4,3,3,3,1,4,9.0,,,,,,,,,,,,,,,,,,,,,,,,,"Gezondheid, Sport en Welzijn (GSW)",Vrouw,25,Amsterdam,2,0,Vwo,Bij mijn ouder(s)/verzorger(s)
215,3,3,4,3,1,3,3,6,6,6,3,3,4,3,3,3,3,2,3,1,5,9.0,9.0,1,1,2,3,1,3,3,1,6.5,2,0,1,1,1,2,2,2,2,2,2,2,4,3,2,3,5,5,5,5,5,5,3,5,4,2,1,1,1,1,0,3,31.0,,,,,,,,,,,,,,,,,,,,,,,,,"Gezondheid, Sport en Welzijn (GSW)",Man,20,Den Haag,2,0,Havo,In een studentenhuis / met meerdere studenten samen
216,4,4,4,2,3,1,1,8,4,9,1,2,1,2,2,2,1,3,3,1,4,8.0,6.0,2,1,2,4,1,4,1,2,7.5,0,0,2,1,1,1,2,2,1,1,1,1,4,5,2,4,5,5,4,4,4,3,4,5,4,5,4,4,3,3,1,,30.0,1,1,1,1,1,1,3,3,1,1,1,1,1,5,1,5,3,5,5,5,5,5,5,5,Onderwijs en Innovatie (ONI),Vrouw,56,Amsterdam,1,0,"Anders, namelijk (vul in):",Met mijn partner / een relatie
217,3,3,4,4,4,4,2,7,9,4,5,5,1,4,5,5,,4,5,1,2,8.0,6.0,1,3,1,3,1,3,1,2,6.4,0,0,1,1,1,1,1,1,1,1,1,1,4,4,3,4,2,5,4,4,2,1,1,1,1,1,2,1,1,1,1,3,32.0,1,3,5,1,1,1,4,4,1,3,2,4,4,3,3,1,1,3,2,5,3,3,3,1,"Techniek, Ontwerpen en Informatica (TOI)",Man,34,Alkmaar,2,0,Mbo,Met mijn partner / een relatie
218,3,4,4,3,3,2,3,7,8,8,5,4,,,3,,,3,3,,4,5.0,8.0,3,3,3,2,2,2,2,3,7.5,3,0,2,2,2,1,3,3,1,1,1,1,4,4,4,4,4,3,3,3,4,3,2,5,3,4,3,3,4,4,1,5,23.0,3,2,1,3,3,4,5,3,4,3,5,4,5,3,4,4,4,3,5,4,4,5,5,5,Creative Business (CB),Vrouw,24,Haarlem,3,0,Mbo,Alleen
219,3,4,3,5,4,4,4,7,8,7,3,3,3,3,4,4,4,3,4,2,4,6.0,9.0,2,3,1,2,2,3,1,3,6.5,2,0,3,1,3,2,1,2,1,1,1,1,4,4,4,4,4,4,4,2,4,3,1,5,3,5,1,1,1,1,1,2,0.0,3,4,3,2,2,1,5,3,1,3,3,4,2,1,2,5,5,4,4,4,3,4,2,1,"Techniek, Ontwerpen en Informatica (TOI)",Man,19,Alkmaar,2,0,Havo,Bij mijn ouder(s)/verzorger(s)
220,4,4,4,3,2,2,2,8,7,8,2,4,2,2,3,4,1,2,4,1,4,7.0,9.0,1,2,2,3,1,3,2,2,7.0,3,0,1,1,1,2,1,2,1,1,1,3,4,3,3,5,5,5,4,4,3,3,3,4,3,4,4,4,2,1,1,,30.0,2,2,3,3,2,3,5,2,2,5,2,2,3,4,2,4,4,4,3,4,4,4,3,4,"Gezondheid, Sport en Welzijn (GSW)",Vrouw,48,Rotterdam,2,0,"Anders, namelijk (vul in):",Anders
221,3,3,2,2,1,3,3,6,4,6,3,3,2,2,3,,3,1,2,1,4,7.0,9.0,2,2,2,3,1,3,1,2,6.0,0,0,1,1,1,2,2,2,2,1,1,1,4,3,4,4,4,5,5,4,5,4,4,5,4,4,3,1,3,1,1,3,19.0,,,,,,,,,,,,,,,,,,,,,,,,,"Business, Finance and Law (BFL)",Man,22,Rotterdam,2,0,Havo,Bij mijn ouder(s)/verzorger(s)
222,4,5,5,3,5,5,3,9,9,7,2,2,2,5,4,5,2,5,5,2,4,8.0,8.0,2,3,3,3,1,3,2,2,8.0,0,0,1,1,3,3,3,2,2,2,3,3,5,5,2,5,4,3,4,3,3,4,4,4,4,4,4,5,3,4,1,4,31.0,2,4,2,4,2,2,5,4,5,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,"Gezondheid, Sport en Welzijn (GSW)",Vrouw,33,Amsterdam,2,0,"Anders, namelijk (vul in):",Met mijn partner / een relatie
223,1,2,3,3,1,4,4,3,7,3,4,4,5,4,4,3,3,3,3,3,5,6.0,8.0,2,2,1,3,1,3,2,1,7.3,0,0,1,1,1,1,2,3,1,1,1,1,3,4,3,4,4,4,4,4,3,4,3,4,3,2,3,1,1,1,1,5,16.0,,,,,,,,,,,,,,,,,,,,,,,,,"Gezondheid, Sport en Welzijn (GSW)",Vrouw,21,Amsterdam,3,0,Havo,Bij mijn ouder(s)/verzorger(s)
224,2,2,2,4,4,4,4,6,7,5,4,4,4,5,5,4,3,5,5,5,4,6.0,6.0,2,2,3,4,1,3,3,1,6.0,0,0,1,1,3,1,1,3,1,1,1,1,3,2,2,2,2,5,4,3,4,3,2,3,5,4,2,3,3,4,1,3,13.0,2,1,3,1,4,3,3,3,3,3,3,2,2,3,3,3,4,4,4,4,3,3,3,3,"Business, Finance and Law (BFL)",Vrouw,20,Den Haag,2,0,Havo,Bij mijn ouder(s)/verzorger(s)
225,4,4,4,3,4,2,3,8,7,7,3,4,4,5,3,3,2,3,4,1,4,7.0,7.0,2,2,3,2,1,3,1,2,7.0,0,0,2,3,3,1,1,1,1,1,1,1,5,5,1,4,4,4,5,3,4,3,4,5,3,3,3,4,1,1,1,5,32.0,4,3,4,4,1,2,4,4,4,2,4,4,4,3,2,3,4,5,3,3,3,3,4,3,Onderwijs en Innovatie (ONI),Vrouw,26,Dordrecht,2,0,Havo,Met mijn partner / een relatie
226,3,4,3,3,2,4,4,5,8,6,4,3,3,5,5,4,4,3,3,3,4,9.0,6.0,2,1,2,4,1,4,1,2,8.0,2,0,2,1,1,2,2,2,1,1,1,1,3,3,3,4,4,4,4,3,4,4,2,4,3,4,2,1,2,1,1,4,5.0,4,2,3,3,4,2,4,3,2,4,3,2,3,4,2,3,4,3,3,3,3,3,2,2,"Business, Finance and Law (BFL)",Vrouw,21,Rotterdam,3,0,Havo,Bij mijn ouder(s)/verzorger(s)
227,3,4,3,3,3,3,3,8,5,7,4,5,3,3,3,2,5,2,2,,4,5.0,6.0,3,3,3,2,3,2,4,2,7.2,5,0,2,1,2,1,2,1,1,1,1,1,5,5,3,5,4,4,4,4,4,4,3,3,4,4,3,1,1,1,1,,36.0,3,1,3,3,3,3,4,4,2,3,4,3,3,3,3,4,5,5,3,4,3,3,3,3,"Gezondheid, Sport en Welzijn (GSW)",Man,48,Haarlem,2,0,Mbo,Met mijn partner / een relatie
228,3,4,4,3,3,3,3,6,7,5,,5,5,5,5,5,2,1,5,1,4,5.0,5.0,4,4,4,2,3,2,3,4,7.8,2,1,3,1,2,2,3,3,1,1,2,2,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5.0,3,1,5,5,1,4,5,5,5,2,3,4,4,2,4,3,2,5,5,5,3,5,5,5,"Business, Finance and Law (BFL)",Vrouw,26,Rotterdam,2,0,"Anders, namelijk (vul in):",Bij mijn ouder(s)/verzorger(s)
229,2,4,3,3,4,4,3,7,7,6,4,3,,,4,,5,3,4,1,3,7.0,6.0,3,3,3,1,2,1,3,3,7.4,2,0,1,1,3,3,3,3,1,2,2,2,4,5,3,4,4,3,3,3,4,4,3,5,4,3,4,5,1,3,1,,36.0,4,3,3,2,1,4,4,4,3,4,3,3,2,4,3,4,2,3,3,3,2,4,2,1,"Techniek, Ontwerpen en Informatica (TOI)",Man,41,Alkmaar,2,0,Mbo,Met mijn partner / een relatie
230,2,5,3,2,2,2,2,10,2,10,4,2,4,3,2,5,2,2,2,4,4,7.0,7.0,1,4,2,2,2,2,2,2,7.5,0,0,1,2,3,3,2,1,3,1,1,1,5,4,3,4,4,5,2,2,2,4,1,5,5,5,4,5,3,2,1,2,17.0,,,,,,,,,,,,,,,,,,,,,,,,,Creative Business (CB),Vrouw,28,Amsterdam,4,0,Vwo,Anders
231,3,4,4,3,3,3,3,8,4,7,2,4,2,3,4,4,2,3,4,2,4,9.0,7.0,1,2,2,4,1,3,1,2,7.5,0,0,2,1,1,2,1,2,1,1,1,2,4,4,2,4,4,4,4,4,3,3,2,4,3,3,2,1,1,1,1,5,25.0,2,2,3,2,1,3,4,4,2,4,2,3,3,3,3,2,2,2,2,4,3,3,2,2,Onderwijs en Innovatie (ONI),Vrouw,35,Den Haag,2,0,Mbo,Met mijn partner / een relatie
232,3,3,3,4,4,4,4,7,6,7,2,4,4,4,4,4,4,4,5,,3,6.0,6.0,3,3,1,1,1,1,1,1,7.2,0,0,1,2,1,1,3,2,2,3,2,2,3,3,1,1,3,2,3,2,3,2,2,3,3,3,3,3,3,2,0,3,22.0,,,,,,,,,,,,,,,,,,,,,,,,,"Techniek, Ontwerpen en Informatica (TOI)",Vrouw,34,Haarlem,2,0,Havo,Bij mijn ouder(s)/verzorger(s)
233,3,4,3,1,1,1,1,9,6,9,2,1,1,1,1,1,1,1,1,3,4,8.0,10.0,1,2,3,4,1,2,1,1,6.5,0,0,1,1,1,1,1,2,1,1,1,1,4,4,2,4,4,4,3,2,2,1,2,4,2,4,1,1,1,1,1,2,40.0,,,,,,,,,,,,,,,,,,,,,,,,,"Techniek, Ontwerpen en Informatica (TOI)",Vrouw,20,Amsterdam,2,0,Havo,Bij mijn ouder(s)/verzorger(s)
234,3,3,3,3,3,2,2,8,7,7,4,3,4,4,5,4,2,2,3,3,3,7.0,9.0,2,2,2,4,1,4,1,2,7.2,0,0,1,1,1,1,1,1,1,1,1,1,5,4,2,4,3,5,5,4,3,3,3,3,3,3,3,3,3,3,1,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,"Business, Finance and Law (BFL)",Man,20,Amsterdam,2,0,Mbo,Bij mijn ouder(s)/verzorger(s)
235,2,3,3,2,3,3,3,2,4,3,3,3,2,2,2,2,3,2,4,4,3,6.0,6.0,2,2,2,2,2,2,1,2,6.5,3,0,3,1,1,1,1,2,1,1,1,1,3,3,3,4,2,4,3,2,2,2,2,4,2,2,3,1,1,1,1,2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,"Agri, Food and Life Sciences (AFL)",Man,24,Delft,2,0,Havo,Alleen
236,3,4,3,3,5,4,2,6,8,5,4,4,4,4,4,4,3,5,4,2,4,8.0,8.0,2,3,3,3,2,2,1,2,5.9,3,0,1,2,2,3,3,3,3,1,2,1,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,4,15.0,2,4,2,2,4,4,4,2,2,5,4,4,4,2,4,4,4,4,4,4,4,4,4,4,"Business, Finance and Law (BFL)",Man,21,Alkmaar,2,0,Mbo,Bij mijn ouder(s)/verzorger(s)
237,2,4,4,3,3,2,3,7,5,7,4,3,4,4,3,3,2,2,4,1,4,7.0,7.0,1,3,4,2,1,3,1,4,7.2,2,0,1,1,1,1,1,3,1,3,1,1,3,3,2,4,4,4,4,4,4,3,3,4,2,3,2,3,1,1,1,4,14.0,,,,,,,,,,,,,,,,,,,,,,,,,"Business, Finance and Law (BFL)",Man,23,Amsterdam,2,0,Havo,Bij mijn ouder(s)/verzorger(s)
238,3,4,4,2,1,1,3,8,3,6,,,,,1,1,1,2,1,1,3,6.0,8.0,1,2,1,3,2,3,1,4,6.0,1,0,1,1,2,1,1,3,1,1,1,1,4,5,3,5,5,5,2,5,1,1,2,5,3,5,1,1,1,1,1,1,42.0,4,3,2,3,1,1,5,3,4,4,2,3,4,4,2,3,1,4,4,5,4,4,3,3,"Techniek, Ontwerpen en Informatica (TOI)",Man,33,Alkmaar,2,0,Mbo,Met mijn partner / een relatie
239,3,3,4,3,2,3,2,8,7,7,4,4,4,4,3,5,3,4,5,4,4,6.0,6.0,3,4,4,3,2,4,3,2,7.0,1,1,1,1,1,2,2,2,2,2,2,2,5,5,5,5,4,2,4,4,4,4,3,4,3,2,3,4,4,4,,3,12.0,3,2,5,2,2,1,4,3,3,4,5,4,4,3,4,2,1,2,3,2,2,2,2,2,Onderwijs en Innovatie (ONI),Vrouw,19,Haarlem,1,0,Havo,Bij mijn ouder(s)/verzorger(s)
240,3,4,4,3,3,2,3,9,8,6,2,3,3,4,4,5,2,5,3,1,5,7.0,6.0,3,2,3,2,2,2,2,3,8.1,0,1,1,1,1,2,2,2,2,2,2,2,4,4,2,4,4,4,3,4,4,4,4,4,4,4,3,3,2,1,1,1,20.0,4,1,3,1,1,1,5,4,5,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,Onderwijs en Innovatie (ONI),Vrouw,49,Haarlem,2,0,Vwo,Anders
241,3,4,4,3,3,3,2,9,6,7,2,3,2,1,2,1,2,3,3,1,4,7.0,7.0,2,2,1,3,2,2,1,2,7.0,0,0,1,1,1,1,1,1,1,1,1,1,4,5,2,4,4,4,4,4,4,3,3,4,3,4,3,1,2,1,1,3,25.0,3,2,2,1,1,1,5,3,2,4,3,3,4,3,3,4,3,4,4,4,4,4,3,3,Onderwijs en Innovatie (ONI),Vrouw,40,Den Haag,1,0,Mbo,Anders
242,3,3,4,4,3,1,4,7,10,6,3,5,1,4,5,5,1,4,5,2,4,6.0,9.0,4,4,1,2,4,4,3,3,8.0,0,0,1,1,1,1,1,1,1,1,1,1,5,5,1,3,3,4,3,3,5,5,2,4,3,5,2,1,3,1,1,3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,"Gezondheid, Sport en Welzijn (GSW)",Man,21,Amsterdam,2,0,Havo,Bij mijn ouder(s)/verzorger(s)
243,3,4,3,3,3,3,2,8,6,8,3,3,2,3,4,4,4,3,4,2,4,8.0,7.0,2,2,2,3,2,3,2,2,7.5,0,0,1,1,1,1,1,1,1,1,1,1,4,3,1,4,4,4,3,3,3,3,3,4,4,4,2,1,1,1,1,1,32.0,,,,,,,,,,,,,,,,,,,,,,,,,"Gezondheid, Sport en Welzijn (GSW)",Vrouw,43,Alkmaar,2,0,Mbo,Met mijn partner / een relatie
244,2,4,3,2,2,2,2,7,6,8,2,3,2,3,3,3,3,3,4,4,3,7.0,10.0,2,2,2,2,2,2,2,2,7.5,0,0,1,1,1,1,1,2,1,1,1,1,3,3,3,3,3,4,3,3,3,2,3,5,3,4,2,2,1,1,1,2,15.0,,,,,,,,,,,,,,,,,,,,,,,,,"Techniek, Ontwerpen en Informatica (TOI)",Vrouw,28,Alkmaar,2,0,Mbo,Anders
245,4,5,4,2,2,4,2,9,7,8,,3,,,,,,2,4,,4,7.0,8.0,1,2,3,3,1,3,1,2,7.2,0,0,1,1,1,1,2,2,1,1,1,1,4,4,1,4,3,3,4,4,4,4,4,4,4,4,1,1,1,1,1,3,32.0,1,3,4,3,1,1,5,3,2,3,3,2,4,2,3,4,4,3,4,4,4,4,4,4,Onderwijs en Innovatie (ONI),Man,30,Den Haag,2,0,Mbo,Met mijn partner / een relatie
246,2,2,2,4,4,3,3,2,7,3,1,1,1,3,5,4,1,1,5,1,5,9.0,7.0,1,1,3,4,1,4,2,2,6.0,0,0,1,1,1,1,1,1,1,1,1,1,4,3,2,2,2,3,3,4,4,1,3,3,3,3,1,1,1,1,1,1,32.0,4,1,4,1,1,1,5,3,5,4,3,3,4,4,3,5,5,1,2,3,2,2,2,2,"Gezondheid, Sport en Welzijn (GSW)",Vrouw,26,Amsterdam,3,0,Mbo,Met mijn partner / een relatie
247,5,5,5,4,4,4,3,7,10,6,5,5,5,5,5,5,5,5,5,5,4,7.0,6.0,3,3,1,3,1,3,3,2,8.4,1,0,2,2,2,1,2,2,2,2,2,2,5,4,4,5,4,5,5,5,5,5,3,5,3,2,3,3,3,3,1,5,42.0,,,,,,,,,,,,,,,,,,,,,,,,,"Business, Finance and Law (BFL)",Vrouw,20,Amsterdam,3,0,Vwo,Bij mijn ouder(s)/verzorger(s)
248,2,4,3,4,3,4,4,4,6,7,5,5,4,5,5,5,4,2,3,2,3,7.0,9.0,2,2,3,3,2,2,2,2,6.0,0,0,1,1,1,1,1,2,1,1,1,1,4,3,4,3,5,5,5,5,5,5,3,5,3,3,3,1,5,5,1,4,20.0,3,2,2,4,1,1,4,4,4,4,3,2,5,3,3,2,2,4,4,4,4,4,4,4,Verloskunde Academie,Vrouw,21,Groningen (Verloskunde Academie),3,0,Vwo,Met een of enkele huisgenoten / vrienden (geen relatie)
249,2,2,2,3,4,3,4,2,6,3,3,4,3,4,5,4,4,5,5,4,3,5.0,7.0,2,3,2,3,2,2,2,2,6.0,0,0,1,1,1,2,2,2,2,1,1,1,3,2,1,4,2,3,3,4,4,3,4,5,3,5,3,2,2,2,0,1,10.0,3,3,4,2,2,2,4,3,3,3,3,3,3,3,3,2,4,3,4,5,4,4,3,3,"Gezondheid, Sport en Welzijn (GSW)",Vrouw,18,Alkmaar,1,0,Havo,Bij mijn ouder(s)/verzorger(s)
250,2,2,2,3,4,3,2,5,7,5,,4,,4,,3,3,4,4,,4,6.0,7.0,3,3,4,2,3,2,1,3,7.0,0,0,2,1,1,2,2,2,2,2,2,2,4,5,3,3,4,4,4,4,3,2,3,4,3,3,4,3,1,1,1,1,15.0,3,3,4,2,2,1,4,3,2,3,3,3,3,3,3,4,4,3,4,4,4,5,4,4,Onderwijs en Innovatie (ONI),Vrouw,21,Alkmaar,1,0,"Anders, namelijk (vul in):",Bij mijn ouder(s)/verzorger(s)
251,2,3,3,4,3,3,4,7,4,6,4,4,4,4,4,4,4,4,4,4,4,6.0,8.0,2,3,2,2,2,2,2,2,7.0,0,1,2,2,2,2,2,2,2,1,1,1,4,3,3,4,3,4,3,3,3,3,2,3,3,3,3,3,3,1,1,2,16.0,,,,,,,,,,,,,,,,,,,,,,,,,"Gezondheid, Sport en Welzijn (GSW)",Man,22,Amsterdam,2,1,Mbo,In een studentenhuis / met meerdere studenten samen
252,3,4,4,3,2,3,2,7,6,7,,3,3,4,3,4,,4,5,5,4,5.0,7.0,3,3,1,2,3,2,3,3,6.5,0,0,2,1,1,2,2,2,3,1,1,1,5,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,2,2,1,4,8.0,4,4,3,3,3,4,4,4,4,4,3,3,4,4,2,4,5,4,4,5,4,3,4,4,Creative Business (CB),Vrouw,20,Amsterdam,2,0,Havo,Bij mijn ouder(s)/verzorger(s)
253,4,4,3,2,4,4,1,8,7,8,2,2,2,2,2,2,2,3,2,1,4,7.0,6.0,1,2,2,1,1,2,1,1,7.5,0,0,1,1,1,2,2,2,1,1,1,1,4,4,2,4,3,4,3,4,3,3,3,2,3,3,2,3,1,2,1,1,26.0,2,2,2,2,2,1,4,3,1,3,2,3,5,3,3,4,1,2,4,4,3,5,4,4,Onderwijs en Innovatie (ONI),Vrouw,32,Haarlem,2,0,"Anders, namelijk (vul in):",Anders
254,3,3,5,4,2,2,3,7,9,6,2,4,4,4,5,4,2,2,2,,4,7.0,7.0,2,2,3,3,1,3,2,2,7.0,0,0,1,1,1,2,1,2,1,1,1,1,5,4,3,5,3,3,4,3,3,3,3,4,4,3,2,1,1,1,1,3,32.0,,,,,,,,,,,,,,,,,,,,,,,,,Onderwijs en Innovatie (ONI),Vrouw,22,Haarlem,2,0,Mbo,Met mijn partner / een relatie
255,3,3,3,5,1,5,5,4,4,4,,4,,4,4,4,1,3,5,2,4,4.0,7.0,3,2,2,2,2,2,1,2,6.0,1,1,2,1,1,2,2,3,1,1,1,1,4,5,2,3,3,2,3,3,2,2,4,4,3,3,3,1,1,1,1,2,0.0,1,1,2,1,3,1,2,2,2,3,2,2,2,3,2,4,4,3,3,4,3,4,3,3,"Gezondheid, Sport en Welzijn (GSW)",Man,22,Amsterdam,3,0,Mbo,Bij mijn ouder(s)/verzorger(s)
256,4,4,4,1,1,2,1,9,6,10,2,2,,3,2,2,3,1,2,2,5,8.0,6.0,1,1,2,4,1,4,1,2,7.5,0,0,1,1,1,2,1,2,1,1,1,1,4,5,1,5,5,4,5,5,4,3,4,5,3,4,4,3,2,1,1,3,15.0,1,1,1,3,5,3,5,3,1,4,4,2,3,2,3,4,3,5,5,5,5,5,5,5,"Gezondheid, Sport en Welzijn (GSW)",Vrouw,24,Amsterdam,4,0,Mbo,Bij mijn ouder(s)/verzorger(s)
257,3,4,3,3,2,2,3,8,3,6,2,3,1,2,2,3,1,2,3,1,3,8.0,6.0,2,1,1,4,2,3,1,1,7.3,0,0,1,1,1,2,1,2,3,1,1,1,3,3,2,4,4,4,4,3,4,4,3,4,3,4,3,1,2,2,1,4,0.0,2,4,2,2,2,2,4,3,3,5,2,1,2,4,1,3,3,4,4,4,4,4,3,3,"Agri, Food and Life Sciences (AFL)",Man,25,Amsterdam,4,0,Havo,Alleen
258,3,4,4,3,3,3,2,8,7,7,2,3,2,1,1,3,4,1,2,1,3,8.0,7.0,1,2,2,3,3,3,2,2,7.0,0,0,1,1,1,2,2,2,2,2,2,2,5,5,2,5,5,4,3,2,2,2,3,4,3,3,1,1,1,1,1,4,38.0,3,1,2,1,1,2,4,3,1,3,4,4,4,2,3,4,4,4,3,4,4,4,3,3,"Business, Finance and Law (BFL)",Vrouw,49,Rotterdam,4,0,Havo,Met mijn partner / een relatie
259,3,4,3,4,4,3,3,5,9,5,2,3,2,3,4,4,3,3,4,2,4,6.0,8.0,2,3,2,2,2,3,2,2,9.0,0,0,1,1,1,3,2,3,1,1,1,1,3,2,4,3,4,4,4,4,4,3,1,5,3,2,2,1,3,3,1,3,0.0,4,3,4,3,3,4,5,4,3,2,4,4,5,2,4,4,4,2,4,4,4,4,4,4,"Agri, Food and Life Sciences (AFL)",Man,23,Amsterdam,5 of hoger,0,Havo,Bij mijn ouder(s)/verzorger(s)
260,2,3,3,2,2,3,4,6,6,8,2,3,3,3,3,3,3,3,4,3,4,7.0,6.0,4,2,2,2,1,2,1,2,7.5,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,1,2,2,1,1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,"Techniek, Ontwerpen en Informatica (TOI)",Man,25,Amsterdam,2,0,Havo,Bij mijn ouder(s)/verzorger(s)
